time, linkname, linkid, packetsreceived, bytesreceived, delaysec, lostpercent
20:48:29,1,0,1241,9731,0.0,0
20:48:30,1,0,1241,9829,0.0,0
20:48:31,1,0,1241,9927,0.0,0
20:48:32,1,0,1250,10026,0.0,0
20:48:33,1,0,1250,10124,0.0,0
20:48:34,1,0,1266,10222,0.0,0
20:48:35,1,0,1306,10319,0.0,0
20:48:36,1,0,1306,10418,0.0,0
20:48:37,1,0,1319,10516,0.0,0
20:48:38,1,0,1319,10615,0.0,0
20:48:39,1,0,1319,10714,0.0,0
20:48:40,1,0,1372,10812,0.0,0
20:48:41,1,0,1471,10911,0.0,0
20:48:42,1,0,1530,11010,0.0,0
20:48:43,1,0,1530,11108,0.0,0
20:48:44,1,0,1530,11204,0.0,0
20:48:45,1,0,1608,11302,0.0,0
20:48:46,1,0,1611,11401,0.0,0
20:48:47,1,0,1611,11500,0.0,0
20:48:48,1,0,1630,11599,0.0,0
20:48:49,1,0,1630,11698,0.0,0
20:48:50,1,0,1630,11797,0.0,0
20:48:51,1,0,1646,11896,0.0,0
20:48:52,1,0,1646,11994,0.0,0
20:48:53,1,0,1659,12094,0.0,0
20:48:54,1,0,1711,12192,0.0,0
20:48:55,1,0,1711,12291,0.0,0
20:48:56,1,0,1711,12389,0.0,0
20:48:57,1,0,1726,12487,0.0,0
20:48:58,1,0,1726,12585,0.0,0
20:48:59,1,0,1771,12683,0.0,0
20:49:00,1,0,1818,12782,0.0,0
20:49:01,1,0,1818,12881,0.0,0
20:49:02,1,0,1818,12979,0.0,0
20:49:03,1,0,1896,13077,0.0,0
20:49:04,1,0,1896,13176,0.0,0
20:49:05,1,0,1896,13275,0.0,0
20:49:06,1,0,1941,13373,0.0,0
20:49:07,1,0,1941,13472,0.0,0
20:49:08,1,0,1941,13571,0.0,0
20:49:09,1,0,1971,13670,0.0,0
20:49:10,1,0,1971,13768,0.0,0
20:49:11,1,0,1977,13867,0.0,0
20:49:12,1,0,2007,13965,0.0,0
20:49:13,1,0,2007,14064,0.0,0
20:49:14,1,0,2023,14162,0.0,0
20:49:15,1,0,2044,14261,0.0,0
20:49:16,1,0,2044,14359,0.0,0
20:49:17,1,0,2085,14458,0.0,0
20:49:18,1,0,2104,14557,0.0,0
20:49:19,1,0,2104,14656,0.0,0
20:49:20,1,0,2130,14755,0.0,0
20:49:21,1,0,2130,14853,0.0,0
20:49:22,1,0,2130,14952,0.0,0
20:49:23,1,0,2163,15050,0.0,0
20:49:24,1,0,2163,15149,0.0,0
20:49:25,1,0,2167,15248,0.0,0
20:49:26,1,0,2167,15346,0.0,0
20:49:27,1,0,2167,15444,0.0,0
20:49:28,1,0,2197,15543,0.0,0
20:49:29,1,0,2197,15643,0.0,0
20:49:30,1,0,2197,15742,0.0,0
20:49:31,1,0,2273,15840,0.0,0
20:49:32,1,0,2290,15939,0.0,0
20:49:33,1,0,2290,16037,0.0,0
20:49:34,1,0,2301,16136,0.0,0
20:49:35,1,0,2301,16234,0.0,0
20:49:36,1,0,2301,16332,0.0,0
20:49:37,1,0,2334,16431,0.0,0
20:49:38,1,0,2334,16530,0.0,0
20:49:39,1,0,2342,16629,0.0,0
20:49:40,1,0,2387,16728,0.0,0
20:49:41,1,0,2387,16826,0.0,0
20:49:42,1,0,2405,16925,0.0,0
20:49:43,1,0,2446,17024,0.0,0
20:49:44,1,0,2446,17122,0.0,0
20:49:45,1,0,2468,17221,0.0,0
20:49:46,1,0,2482,17320,0.0,0
20:49:47,1,0,2482,17419,0.0,0
20:49:48,1,0,2487,17517,0.0,0
20:49:49,1,0,2487,17616,0.0,0
20:49:50,1,0,2487,17713,0.0,0
20:49:51,1,0,2506,17811,0.0,0
20:49:52,1,0,2506,17910,0.0,0
20:49:53,1,0,2514,18008,0.0,0
20:49:54,1,0,2514,18106,0.0,0
20:49:55,1,0,2514,18204,0.0,0
20:49:57,1,0,2589,18303,0.0,0
20:49:58,1,0,2645,18402,0.0,0
20:49:59,1,0,2645,18499,0.0,0
20:50:00,1,0,2649,18598,0.0,0
20:50:01,1,0,2676,18696,0.0,0
20:50:02,1,0,2676,18795,0.0,0
20:50:03,1,0,2711,18893,0.0,0
20:50:04,1,0,2736,18991,0.0,0
20:50:05,1,0,2736,19090,0.0,0
20:50:06,1,0,2739,19189,0.0,0
20:50:07,1,0,2739,19288,0.0,0
20:50:08,1,0,2739,19386,0.0,0
20:50:09,1,0,2768,19484,0.0,0
20:50:10,1,0,2768,19581,0.0,0
20:50:11,1,0,2768,19679,0.0,0
20:50:12,1,0,2814,19778,0.0,0
20:50:13,1,0,2814,19876,0.0,0
20:50:14,1,0,2822,19975,0.0,0
20:50:15,1,0,2918,20074,0.0,0
20:50:16,1,0,2918,20172,0.0,0
20:50:17,1,0,2918,20270,0.0,0
20:50:18,1,0,2963,20367,0.0,0
20:50:19,1,0,2963,20464,0.0,0
20:50:20,1,0,2963,20561,0.0,0
20:50:21,1,0,3039,20660,0.0,0
20:50:22,1,0,3079,20759,0.0,0
20:50:23,1,0,3079,20858,0.0,0
20:50:24,1,0,3086,20957,0.0,0
20:50:25,1,0,3087,21056,0.0,0
20:50:26,1,0,3087,21155,0.0,0
20:50:27,1,0,3115,21254,0.0,0
20:50:28,1,0,3115,21352,0.0,0
20:50:29,1,0,3115,21451,0.0,0
20:50:30,1,0,3127,21550,0.0,0
20:50:31,1,0,3127,21648,0.0,0
20:50:32,1,0,3157,21746,0.0,0
20:50:33,1,0,3157,21843,0.0,0
20:50:34,1,0,3157,21942,0.0,0
20:50:35,1,0,3163,22040,0.0,0
20:50:36,1,0,3163,22138,0.0,0
20:50:37,1,0,3164,22237,0.0,0
20:50:38,1,0,3186,22336,0.0,0
20:50:39,1,0,3186,22435,0.0,0
20:50:40,1,0,3230,22534,0.0,0
20:50:41,1,0,3311,22632,0.0,0
20:50:42,1,0,3311,22731,0.0,0
20:50:43,1,0,3311,22830,0.0,0
20:50:44,1,0,3325,22928,0.0,0
20:50:45,1,0,3325,23025,0.0,0
20:50:46,1,0,3329,23123,0.0,0
20:50:47,1,0,3329,23222,0.0,0
20:50:48,1,0,3329,23320,0.0,0
20:50:49,1,0,3347,23418,0.0,0
20:50:50,1,0,3347,23517,0.0,0
20:50:51,1,0,3357,23615,0.0,0
20:50:52,1,0,3445,23713,0.0,0
20:50:53,1,0,3445,23812,0.0,0
20:50:54,1,0,3445,23911,0.0,0
20:50:55,1,0,3466,24010,0.0,0
20:50:56,1,0,3466,24109,0.0,0
20:50:57,1,0,3485,24208,0.0,0
20:50:58,1,0,3552,24307,0.0,0
20:50:59,1,0,3552,24406,0.0,0
20:51:00,1,0,3552,24504,0.0,0
20:51:01,1,0,3633,24603,0.0,0
20:51:02,1,0,3633,24701,0.0,0
20:51:03,1,0,3633,24800,0.0,0
20:51:04,1,0,3681,24899,0.0,0
20:51:05,1,0,3681,24998,0.0,0
20:51:06,1,0,3681,25096,0.0,0
20:51:07,1,0,3690,25195,0.0,0
20:51:08,1,0,3690,25294,0.0,0
20:51:09,1,0,3716,25392,0.0,0
20:51:10,1,0,3743,25491,0.0,0
20:51:11,1,0,3743,25592,0.0,0
20:51:12,1,0,3782,25691,0.0,0
20:51:13,1,0,3800,25790,0.0,0
20:51:14,1,0,3800,25889,0.0,0
20:51:15,1,0,3834,25988,0.0,0
20:51:16,1,0,3848,26087,0.0,0
20:51:17,1,0,3848,26186,0.0,0
20:51:18,1,0,3850,26284,0.0,0
20:51:19,1,0,3850,26382,0.0,0
20:51:20,1,0,3850,26480,0.0,0
20:51:21,1,0,3877,26578,0.0,0
20:51:22,1,0,3877,26678,0.0,0
20:51:23,1,0,3903,26776,0.0,0
20:51:24,1,0,3966,26875,0.0,0
20:51:25,1,0,3966,26974,0.0,0
20:51:26,1,0,3966,27071,0.0,0
20:51:27,1,0,3971,27170,0.0,0
20:51:28,1,0,3971,27269,0.0,0
20:51:29,1,0,3997,27368,0.0,0
20:51:30,1,0,3997,27467,0.0,0
20:51:31,1,0,3997,27566,0.0,0
20:51:32,1,0,4011,27664,0.0,0
20:51:33,1,0,4011,27763,0.0,0
20:51:34,1,0,4042,27861,0.0,0
20:51:35,1,0,4106,27959,0.0,0
20:51:36,1,0,4106,28058,0.0,0
20:51:37,1,0,4106,28156,0.0,0
20:51:38,1,0,4122,28255,0.0,0
20:51:39,1,0,4122,28353,0.0,0
20:51:40,1,0,4137,28452,0.0,0
20:51:41,1,0,4137,28551,0.0,0
20:51:42,1,0,4137,28650,0.0,0
20:51:43,1,0,4177,28748,0.0,0
20:51:44,1,0,4195,28847,0.0,0
20:51:45,1,0,4195,28944,0.0,0
20:51:46,1,0,4214,29043,0.0,0
20:51:47,1,0,4222,29142,0.0,0
20:51:48,1,0,4222,29240,0.0,0
20:51:49,1,0,4253,29338,0.0,0
20:51:50,1,0,4253,29436,0.0,0
20:51:51,1,0,4253,29535,0.0,0
20:51:52,1,0,4254,29633,0.0,0
